	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1	gene_name	ENSEMBL.tag
ENSMUSG00000001508	1	0	0	4	0	7	sarcoglycan, alpha (dystrophin-associated glycoprotein)	Sgca
ENSMUSG00000001510	814	560	717	836	1351	1156	distal-less homeobox 3	Dlx3
ENSMUSG00000001517	95	97	99	203	191.001	207	forkhead box M1	Foxm1
ENSMUSG00000001518	158	191.075	288.76	241.047	275.807	301.162	integrin alpha FG-GAP repeat containing 2	Itfg2
ENSMUSG00000001520	10	0	10.999	17.029	19	15.56	nuclear receptor interacting protein 2	Nrip2
ENSMUSG00000001521	169.03	188.02	222.751	219.898	312.123	304.179	tubby-like protein 3	Tulp3
ENSMUSG00000001524	389	429	516	411.002	602	518	general transcription factor II H, polypeptide 4	Gtf2h4
ENSMUSG00000001525	7226.025	9755.973	11227.886	10168.047	14506.061	10545.423	tubulin, beta 5 class I	Tubb5
ENSMUSG00000001542	887.717	805.688	1135.653	748	965.051	1016.011	elongation factor for RNA polymerase II 2	Ell2
ENSMUSG00000001552	8475.826	7691	10254	7047.001	12321.073	9442.168	junction plakoglobin	Jup
ENSMUSG00000001555	553	318.999	646.999	1252	928	898	FK506 binding protein 10	Fkbp10
ENSMUSG00000001558	8	9	15	6	15	9	kelch-like 10	Klhl10
ENSMUSG00000001566	3	1	15	3	3	3	motor neuron and pancreas homeobox 1	Mnx1
ENSMUSG00000001569	730.76	660.471	882.221	726.872	954.467	1032.589	nucleolar protein with MIF4G domain 1	Nom1
ENSMUSG00000001576	1446.999	1079	1516	1362	1754	2341	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	Ergic1
ENSMUSG00000001583	35	32	88	72	50.569	83	tyrosine kinase, non-receptor, 1	Tnk1
ENSMUSG00000001588	35	81.999	62	58	88	83.999	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Acap1
ENSMUSG00000001604	64	94	48	170.999	16	290	transcription elongation factor A (SII), 3	Tcea3
ENSMUSG00000001622	8.733	2	6	7	11	8.207	casein kappa	Csn3
ENSMUSG00000001627	2730	2068.987	4040	2690	3707.001	3284.966	interferon-related developmental regulator 1	Ifrd1
ENSMUSG00000001630	468.752	375.127	789.825	427.338	735.52	629.31	serine/threonine kinase 38 like	Stk38l
ENSMUSG00000001632	982.01	934.09	1436.038	846.07	1630.082	1383.017	bromodomain and PHD finger containing, 1	Brpf1
ENSMUSG00000001642	415.557	497.643	690	647.996	617.015	822.001	aldo-keto reductase family 1, member B3 (aldose reductase)	Akr1b3
ENSMUSG00000001655	16	10	2	31	50	24	homeobox C13	Hoxc13
ENSMUSG00000001656	2	2	1	1	0	5	homeobox C11	Hoxc11
ENSMUSG00000001657	9.016	24.057	19.13	62.021	10.035	57.138	homeobox C8	Hoxc8
ENSMUSG00000001661	18	9	24	24	5	37	homeobox C6	Hoxc6
ENSMUSG00000001663	82.001	75	21	203.001	13	315.999	glutathione S-transferase, theta 1	Gstt1
ENSMUSG00000001665	172	207	130.559	226.019	124	366.999	glutathione S-transferase, theta 3	Gstt3
ENSMUSG00000001666	317	548	530.358	544	473	637	D-dopachrome tautomerase	Ddt
ENSMUSG00000001670	1	0	0	0	0	0	tyrosine aminotransferase	Tat
ENSMUSG00000001672	150	92	181	137	171	327	MARVEL (membrane-associating) domain containing 3	Marveld3
ENSMUSG00000001674	697.845	1031.827	1197.001	895.001	1115.746	1204.808	DEAD box helicase 18	Ddx18
ENSMUSG00000001687	1142	956.001	1668	1257	1485	1825	ubiquitin-like 3	Ubl3
ENSMUSG00000001700	800	711	1050	764	1200	1020.999	GRAM domain containing 3	Gramd3
ENSMUSG00000001707	455	714	841	613	696.999	734	eukaryotic translation elongation factor 1 epsilon 1	Eef1e1
ENSMUSG00000001729	7840.999	7944	12357	8128	14148	10794.999	thymoma viral proto-oncogene 1	Akt1
ENSMUSG00000001739	26	26	11	135	12	178	claudin 15	Cldn15
ENSMUSG00000001741	7	39	41	25.006	31.029	24	interleukin 16	Il16
ENSMUSG00000001750	441.66	288.075	704.803	519.669	885.396	723.973	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3	Tcirg1
ENSMUSG00000001751	918	474	1310	802	1549	1552	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	Naglu
ENSMUSG00000001755	362.999	418	449	449	513	652.001	Coenzyme A synthase	Coasy
ENSMUSG00000001761	227.67	168.832	225	395	245	636.821	smoothened, frizzled class receptor	Smo
ENSMUSG00000001763	606.002	618.005	1035.999	516	807.179	728	tetraspanin 33	Tspan33
ENSMUSG00000001767	764	846	1160	845	1238	1162	crooked neck pre-mRNA splicing factor 1	Crnkl1
ENSMUSG00000001768	385.745	278.07	425.194	419.522	507.999	690	Ras and Rab interactor 2	Rin2
ENSMUSG00000001773	0	0	0	0	0	0	folate hydrolase 1	Folh1
ENSMUSG00000001774	914.093	1037.819	1663.718	1232.515	1589.733	1802.093	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1	Chordc1
ENSMUSG00000001783	1640	2175	2627	1994	2550	2685	RNA 2',3'-cyclic phosphate and 5'-OH ligase	Rtcb
ENSMUSG00000001785	357	441	491	399	621	559	PWP1 homolog, endonuclein	Pwp1
ENSMUSG00000001786	531.999	482	635	366.999	469.999	544	F-box protein 7	Fbxo7
ENSMUSG00000001794	3628	4473	5419.999	3922.001	5921	5007	calpain, small subunit 1	Capns1
ENSMUSG00000001802	40	28	43	54	63	141	low density lipoprotein receptor-related protein 3	Lrp3
ENSMUSG00000001804	6	4	15	3	8	13	desmoglein 4	Dsg4
ENSMUSG00000001815	0	0	0	0	0	0	even-skipped homeobox 2	Evx2
ENSMUSG00000001819	9	5	9	12	30	13	homeobox D13	Hoxd13
ENSMUSG00000001823	0	0	0	0	2	0	homeobox D12	Hoxd12
ENSMUSG00000001827	2671	2638	2872.994	3263	1962	6783.999	folate receptor 1 (adult)	Folr1
ENSMUSG00000001829	513.999	477	667	516	757	735.99	ClpB caseinolytic peptidase B	Clpb
ENSMUSG00000001833	3038	3103.052	4286.367	3344.062	4605.999	5113.062	septin 7	Septin7
ENSMUSG00000001844	302	254.999	414	350.999	495	440	zinc finger, DHHC domain containing 4	Zdhhc4
ENSMUSG00000001847	6913.971	7301.98	11111.975	8319.07	11171.966	11485.984	Rac family small GTPase 1	Rac1
ENSMUSG00000001855	629	468.028	721	543	919	812.023	nucleoporin 214	Nup214
ENSMUSG00000001864	3776	3711	7042.001	5222	8547	7621	allograft inflammatory factor 1-like	Aif1l
ENSMUSG00000001865	16	2	12	4	14	12	carboxypeptidase A3, mast cell	Cpa3
ENSMUSG00000001870	269.427	91.13	366.405	347.173	301.278	496.671	latent transforming growth factor beta binding protein 1	Ltbp1
ENSMUSG00000001891	4709	6083.001	6626	5341	6794	7597	UDP-glucose pyrophosphorylase 2	Ugp2
ENSMUSG00000001901	50	60	42	37	99	102	potassium voltage-gated channel, subfamily H (eag-related), member 6	Kcnh6
ENSMUSG00000001909	604.491	691.542	933.002	671	1006.486	835.998	tRNA methyltransferase 1	Trmt1
ENSMUSG00000001910	1055	585	1119	852.704	1179.573	1716.963	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing	Nacc1
ENSMUSG00000001911	78	38	62	97	148	95	nuclear factor I/X	Nfix
ENSMUSG00000001918	423	248	420	757	993.001	878	solute carrier family 1 (neutral amino acid transporter), member 5	Slc1a5
ENSMUSG00000001924	3255.385	3989.528	4504.197	3692.732	5395.039	5083.855	ubiquitin-like modifier activating enzyme 1	Uba1
ENSMUSG00000001930	180	57.113	163.26	140	460	250.19	Von Willebrand factor	Vwf
ENSMUSG00000001942	971.035	424.001	1145.04	825.005	1347.017	1275.999	sialic acid acetylesterase	Siae
ENSMUSG00000001943	56	40	108	95.001	88.999	65	V-set and immunoglobulin domain containing 2	Vsig2
ENSMUSG00000001946	3346	1999	4163	2514.001	4606	3964.999	endothelial cell-specific adhesion molecule	Esam
ENSMUSG00000001948	87	119	87	94	119	103	sperm autoantigenic protein 17	Spa17
ENSMUSG00000001962	799	1057	1316	1016	1389	1319	family with sequence similarity 50, member A	Fam50a
ENSMUSG00000001964	713.329	817.8	1013.258	838.325	1222.8	1043.339	emerin	Emd
ENSMUSG00000001983	179	191	212	162	221	231	translational activator of mitochondrially encoded cytochrome c oxidase I	Taco1
ENSMUSG00000001985	110.364	14.152	45.189	23.071	60.527	98.305	glutamate receptor, ionotropic, kainate 3	Grik3
ENSMUSG00000001986	20	7.008	20.043	37.234	6.008	40.04	glutamate receptor, ionotropic, AMPA3 (alpha 3)	Gria3
ENSMUSG00000001988	0	1	0	0	1	0	neuronal PAS domain protein 1	Npas1
ENSMUSG00000001995	1608	979	1675	1219	2608	2068.163	signal-induced proliferation-associated 1 like 2	Sipa1l2
ENSMUSG00000001998	178.146	99.532	184.29	158.586	296.027	253.088	adaptor-related protein complex AP-4, epsilon 1	Ap4e1
ENSMUSG00000001999	524	879	965	674	788	788	biliverdin reductase A	Blvra
ENSMUSG00000002006	11	20	12	34	37	46	PDZ domain containing 4	Pdzd4
ENSMUSG00000002007	2	0	4	11	2	12.001	serine/arginine-rich protein specific kinase 3	Srpk3
ENSMUSG00000002010	1004.001	1430.999	1530.001	1404.998	1576	1728.999	isocitrate dehydrogenase 3 (NAD+), gamma	Idh3g
ENSMUSG00000002012	46	69	63	57	36	119	pregnancy upregulated non-ubiquitously expressed CaM kinase	Pnck
ENSMUSG00000002014	3663	3941	6447	4164	4464	4849	signal sequence receptor, delta	Ssr4
ENSMUSG00000002015	6581	5836	8483	6399	8034	8681	B cell receptor associated protein 31	Bcap31
ENSMUSG00000002017	894	979.001	1262	1010	1143.001	1501	family with sequence similarity 98, member A	Fam98a
ENSMUSG00000002020	99	158	226	97.001	189	111	latent transforming growth factor beta binding protein 2	Ltbp2
ENSMUSG00000002028	777	211	627	470	964	780	lysine (K)-specific methyltransferase 2A	Kmt2a
ENSMUSG00000002031	561.998	782.679	859.703	638.261	859.778	844.996	intraflagellar transport 46	Ift46
ENSMUSG00000002032	31	24	52	40	28	79	transmembrane protein 25	Tmem25
ENSMUSG00000002033	4	4	2	4	13	1	CD3 antigen, gamma polypeptide	Cd3g
ENSMUSG00000002043	354	596.001	602.999	427	529.999	552.001	trafficking protein particle complex 6A	Trappc6a
ENSMUSG00000002052	2157.885	1771.626	2499.193	1831.699	3030.012	2830.783	SPT6, histone chaperone and transcription elongation factor	Supt6
ENSMUSG00000002055	443.185	382	601.411	444.001	616.793	564.197	sperm associated antigen 5	Spag5
ENSMUSG00000002057	11	18	6	17	20	8	forkhead box N1	Foxn1
ENSMUSG00000002058	840	953	1139	1056	1244	1300	unc-119 lipid binding chaperone	Unc119
ENSMUSG00000002059	149.443	188.58	263.446	253.009	255.863	373.635	RAB34, member RAS oncogene family	Rab34
ENSMUSG00000002064	2031	2596.999	3095	2573	2813	3242	stromal cell derived factor 2	Sdf2
ENSMUSG00000002068	109	170	140	301	307	265	cyclin E1	Ccne1
ENSMUSG00000002076	111.008	86	212.007	170.001	219.012	109.002	heat shock transcription factor 2 binding protein	Hsf2bp
ENSMUSG00000002083	128	91	158	121	185.999	172	BCL2 binding component 3	Bbc3
ENSMUSG00000002100	39	23	54	23	35	37	myosin binding protein C, cardiac	Mybpc3
ENSMUSG00000002102	1818	2750.001	2927.001	2495.999	2629.999	2902.001	proteasome (prosome, macropain) 26S subunit, ATPase 3	Psmc3
ENSMUSG00000002103	866.847	522.729	1124.817	768.8	1286.014	1274.842	acid phosphatase 2, lysosomal	Acp2
ENSMUSG00000002104	2	3	4	3	9	10	receptor-associated protein of the synapse	Rapsn
ENSMUSG00000002105	685.001	447	922.999	698.999	1030.001	1119	solute carrier family 39 (metal ion transporter), member 13	Slc39a13
ENSMUSG00000002107	252	139	262.999	206	269	337	CUGBP, Elav-like family member 2	Celf2
ENSMUSG00000002108	151	209	174	335	120.999	531.999	nuclear receptor subfamily 1, group H, member 3	Nr1h3
ENSMUSG00000002109	86.157	100.271	162.397	132	151	173	damage specific DNA binding protein 2	Ddb2
ENSMUSG00000002111	57	71	119	60	61	68	spleen focus forming virus (SFFV) proviral integration oncogene	Spi1
ENSMUSG00000002129	1228	1457.91	1769	1316	1944.001	1688.999	splicing factor 3a, subunit 1	Sf3a1
ENSMUSG00000002147	1455	1160	1770.001	1256	2008.001	1922	signal transducer and activator of transcription 6	Stat6
ENSMUSG00000002190	2	3	3	4	5	2	calmegin	Clgn
ENSMUSG00000002204	105.338	140.971	185.454	360.008	198.449	656.442	napsin A aspartic peptidase	Napsa
ENSMUSG00000002205	615.887	756.053	870.323	764.04	952.027	1105.529	vaccinia related kinase 3	Vrk3
ENSMUSG00000002210	226	224	287	271.001	356.036	308	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	Smg9
ENSMUSG00000002221	343.702	340.255	487.136	429.364	620.354	583.456	PAX interacting (with transcription-activation domain) protein 1	Paxip1
ENSMUSG00000002222	1293	722.001	1329	1031	1729.999	1908	required for meiotic nuclear division 5 homolog A	Rmnd5a
ENSMUSG00000002227	1519.877	1046.947	1392.554	1606.074	1943.445	2977	Mov10 RISC complex RNA helicase	Mov10
ENSMUSG00000002228	35	17	39	24	51	37	protein phosphatase 1J	Ppm1j
ENSMUSG00000002233	4297.001	5439	6963	5153	6919	6458	ras homolog family member C	Rhoc
ENSMUSG00000002240	0	0	0	0	0	0	proline rich 27	Prr27
ENSMUSG00000002249	864.974	668.673	750.614	934.301	1514.509	1287.91	TEA domain family member 3	Tead3
ENSMUSG00000002250	845	803	1290	769	1699.919	1102	peroxisome proliferator activator receptor delta	Ppard
ENSMUSG00000002257	33	72	54	61	100	61.001	differentially expressed in FDCP 6	Def6
ENSMUSG00000002265	17219	8131	17115	11921.999	19854	23643.001	paternally expressed 3	Peg3
ENSMUSG00000002266	1375.764	517.076	1361.975	871.235	1742.108	1614.189	zinc finger, imprinted 1	Zim1
ENSMUSG00000002274	30	40.999	55	50	75	67	meteorin, glial cell differentiation regulator	Metrn
ENSMUSG00000002279	418.001	343.999	621.073	428.11	637.834	565.727	lipase maturation factor 1	Lmf1
ENSMUSG00000002280	377	487	612	450	506	592	cytosolic iron-sulfur assembly component 3	Ciao3
ENSMUSG00000002289	278	278	369.002	186	260	363.999	angiopoietin-like 4	Angptl4
ENSMUSG00000002297	440.999	410.131	586.331	623	691.001	727.501	DBF4 zinc finger	Dbf4
ENSMUSG00000002307	985	1115	1483	1043.999	1703	1437	Fas death domain-associated protein	Daxx
ENSMUSG00000002308	2630	3121.001	3923	2566	2912	3585.001	CD320 antigen	Cd320
ENSMUSG00000002319	1523	1709.999	2019	1674	2562	2296.402	importin 4	Ipo4
ENSMUSG00000002320	1605.79	1190.842	2225.754	1703.636	2583.852	2729.752	transmembrane 9 superfamily member 1	Tm9sf1
ENSMUSG00000002324	379.999	349	330	463	227	932	REC8 meiotic recombination protein	Rec8
ENSMUSG00000002325	1174.015	1012.146	1582.372	1058.262	1552.876	1450.389	interferon regulatory factor 9	Irf9
ENSMUSG00000002326	380	575	572.428	462	545	575.838	guanosine monophosphate reductase 2	Gmpr2
ENSMUSG00000002329	579	757	870.001	743.999	835	1048	magnesium-dependent phosphatase 1	Mdp1
ENSMUSG00000002332	656	946	989.999	713	947	1002	dehydrogenase/reductase (SDR family) member 1	Dhrs1
ENSMUSG00000002341	1.101	0	4.195	2.002	0	2.077	neurocan	Ncan
ENSMUSG00000002342	475	357	671	470.999	725.002	746.001	transmembrane protein 161A	Tmem161a
ENSMUSG00000002343	184	208	231.001	239	301.001	339	armadillo repeat containing 6	Armc6
ENSMUSG00000002345	266	345	519.834	364	419	442	BLOC-1 related complex subunit 8	Borcs8
ENSMUSG00000002346	68.979	53.843	91.063	80.26	74.442	197.192	solute carrier family 25, member 42	Slc25a42
ENSMUSG00000002365	4234	4549	5801	4204	6117	6507	sorting nexin 9	Snx9
ENSMUSG00000002372	1260.074	1329.399	2023.59	1371.669	2081.531	1782.821	RAN binding protein 3	Ranbp3
ENSMUSG00000002379	741	1304	1292.001	1150	1025	1131.999	NADH:ubiquinone oxidoreductase subunit A11	Ndufa11
ENSMUSG00000002384	69.019	28.477	50.653	112.529	242.323	133.349	bone morphogenetic protein 8b	Bmp8b
ENSMUSG00000002393	1201.999	1417.001	2172.999	1439.998	2454.993	2192.999	nuclear receptor subfamily 2, group F, member 6	Nr2f6
ENSMUSG00000002395	838	1269	1445	1367	1323	1319	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	Use1
ENSMUSG00000002396	103.999	123	236.002	152.002	213.009	170	occludin/ELL domain containing 1	Ocel1
ENSMUSG00000002409	316	357	482	313	598	511	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b	Dyrk1b
ENSMUSG00000002413	1544	967	1937	1113.877	2469	1701	Braf transforming gene	Braf
ENSMUSG00000002416	415.17	770.81	877.971	886.474	702.814	842.645	NADH:ubiquinone oxidoreductase subunit B2	Ndufb2
ENSMUSG00000002428	572.762	429.517	724.905	561.838	928.446	935.114	helicase-like transcription factor	Hltf
ENSMUSG00000002455	1276	1597	1695	1400	1699	2312	pre-mRNA splicing factor 6	Prpf6
ENSMUSG00000002458	56.999	56	131.001	125.999	138.998	115	regulator of G-protein signaling 19	Rgs19
ENSMUSG00000002459	2.2	3.122	4.233	2.164	1.066	16.082	regulator of G-protein signaling 20	Rgs20
ENSMUSG00000002475	479	337	470	486	520	818	abhydrolase domain containing 3	Abhd3
ENSMUSG00000002477	852.898	1384.246	1623.893	1251.616	1267.166	1477.836	small nuclear ribonucleoprotein D1	Snrpd1
ENSMUSG00000002486	139.003	123	239.999	118.008	272.994	248.019	trichoplein, keratin filament binding	Tchp
ENSMUSG00000002489	661.999	524	874	518	963.001	552	T cell lymphoma invasion and metastasis 1	Tiam1
ENSMUSG00000002496	865.842	765.074	1107.004	738.598	1449.716	1105.461	TSC complex subunit 2	Tsc2
ENSMUSG00000002500	30	74	95	31	54	34	ribosomal protein L3-like	Rpl3l
ENSMUSG00000002504	159	196.001	391.999	160	218.001	220	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2	Slc9a3r2
ENSMUSG00000002524	2576	3440.999	4007	3066.001	3588	3965	poly-U binding splicing factor 60	Puf60
ENSMUSG00000002546	1765.001	1413	2210	1495	2779.92	2360.001	golgi autoantigen, golgin subfamily a, 2	Golga2
ENSMUSG00000002550	646.001	666	867.276	732.232	962.044	1024	uridine-cytidine kinase 1	Uck1
ENSMUSG00000002565	56.019	102.678	99.02	197.103	268.132	126.022	scinderin	Scin
ENSMUSG00000002578	66.125	44.524	36.289	60.376	33.929	225.647	IKAROS family zinc finger 4	Ikzf4
ENSMUSG00000002580	623	870	967	953	762	1214	migration and invasion enhancer 1	Mien1
ENSMUSG00000002588	1	3	0	1	0	0	paraoxonase 1	Pon1
ENSMUSG00000002602	653.999	474	948	877.001	1547	1298	AXL receptor tyrosine kinase	Axl
ENSMUSG00000002603	627.812	684.209	1050.005	759.955	1403.666	1200.46	transforming growth factor, beta 1	Tgfb1
ENSMUSG00000002608	573.999	435	677.001	542	933.001	867	coiled-coil domain containing 97	Ccdc97
ENSMUSG00000002617	48.508	42.039	62	73.003	101.043	108.557	zinc finger protein 40	Zfp40
ENSMUSG00000002625	322.002	361.999	561.001	320	504.998	435.998	A kinase (PRKA) anchor protein 8-like	Akap8l
ENSMUSG00000002633	0	0	0	1	2	0	sonic hedgehog	Shh
ENSMUSG00000002635	263	342	414	291	351.999	438	programmed cell death 2-like	Pdcd2l
ENSMUSG00000002658	936	1246	1315	900	1378	1290	general transcription factor IIF, polypeptide 1	Gtf2f1
ENSMUSG00000002660	569	696	949	698	795	982	caseinolytic mitochondrial matrix peptidase proteolytic subunit	Clpp
ENSMUSG00000002661	108	183	236	163	170	175	alkB homolog 7	Alkbh7
ENSMUSG00000002664	0	0	0	0	0	0	persephin	Pspn
ENSMUSG00000002668	24.017	17.001	26.88	27.081	35.689	28.43	DENN/MADD domain containing 1C	Dennd1c
ENSMUSG00000002679	662	903.001	958	859	869	984	mediator complex subunit 6	Med6
ENSMUSG00000002688	21	15	41	42	54	29	protein kinase D1	Prkd1
ENSMUSG00000002699	29.929	48.909	52.733	49.672	92.681	58.519	lymphocyte cytosolic protein 2	Lcp2
ENSMUSG00000002718	1748.103	1693.452	2434.269	1809	2928.339	2184.088	chromosome segregation 1-like (S. cerevisiae)	Cse1l
ENSMUSG00000002728	851.666	969.541	1365.498	1114.993	1206.139	1230.812	N(alpha)-acetyltransferase 20, NatB catalytic subunit	Naa20
ENSMUSG00000002731	196	291	313	296	247	374	protein kinase, interferon inducible double stranded RNA dependent activator	Prkra
ENSMUSG00000002732	190	163	268	273	237	334	FK506 binding protein 7	Fkbp7
ENSMUSG00000002733	781.312	555.264	1144.552	682.777	1163.978	1042.489	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3	Plekha3
ENSMUSG00000002741	1740	1552	2338	1970	2811	2727	YKT6 v-SNARE homolog (S. cerevisiae)	Ykt6
ENSMUSG00000002748	1753.66	1213.425	2217.636	1419.326	2566.001	2260.016	bromodomain adjacent to zinc finger domain, 1B	Baz1b
ENSMUSG00000002763	774	860.999	1122.999	899	1346.999	1462.001	peroxisomal biogenesis factor 6	Pex6
ENSMUSG00000002767	1026.001	1234	1338.001	1010	1208	1568.999	mitochondrial ribosomal protein L2	Mrpl2
ENSMUSG00000002768	803.001	1220	1365	1146.999	1417	1317.751	male enhanced antigen 1	Mea1
ENSMUSG00000002769	2	4	0	0	2	2	glycine N-methyltransferase	Gnmt
ENSMUSG00000002771	32	24	42	49	61	52	glutamate receptor, ionotropic, NMDA2D (epsilon 4)	Grin2d
ENSMUSG00000002778	2726.001	2360	4182.999	3019	4298	4416.001	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	Kdelr1
ENSMUSG00000002781	192.383	177.725	208.138	293.17	238.127	536.091	transmembrane protein 143	Tmem143
ENSMUSG00000002797	33	39	56	26	40	44	gamma-glutamyl cyclotransferase	Ggct
ENSMUSG00000002799	409.001	226.001	292.999	434.001	968	611	jagged 2	Jag2
ENSMUSG00000002803	64	80	84.999	98	120	118	BTB (POZ) domain containing 6	Btbd6
ENSMUSG00000002804	203.999	301	305	364	267	382.999	nudix (nucleoside diphosphate linked moiety X)-type motif 14	Nudt14
ENSMUSG00000002808	249	218.873	533.004	492	650	692	ependymin related protein 1 (zebrafish)	Epdr1
ENSMUSG00000002812	1916.001	1761	2471	1757.001	3045	2845	flightless I actin binding protein	Flii
ENSMUSG00000002814	208	198	323	211	363	360.999	topoisomerase (DNA) III alpha	Top3a
ENSMUSG00000002820	1025	1070	1587	1165	1732.001	1359.001	autophagy related 4D, cysteine peptidase	Atg4d
ENSMUSG00000002825	94.001	145	155.999	128	163	177.999	queuine tRNA-ribosyltransferase catalytic subunit 1	Qtrt1
ENSMUSG00000002831	51	22	34	77	130	123	perilipin 4	Plin4
ENSMUSG00000002833	900.915	1067.665	1301.003	821.377	1417.657	1134.076	HDGF like 2	Hdgfl2
ENSMUSG00000002835	223.258	276.024	289.923	309.02	532.455	431.156	chromatin assembly factor 1, subunit A (p150)	Chaf1a
ENSMUSG00000002844	1577.026	1883.899	2332.952	1791.335	2449.001	2450.576	ADP-ribosylarginine hydrolase	Adprh
ENSMUSG00000002845	1682.999	1487	2723.001	1839	2640	2232.999	transmembrane protein 39a	Tmem39a
